"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"81",235167.348805288,235122.109514089,235260.697847831,235519.398601904,235613.16661438,235113.662994683,235112.044134253,235115.785300986,235215.693567255,235216.078700201,235125.569869177,235178.143852191
"82",234889.423689202,236899.958547817,235254.816372097,235944.706577247,235783.370927095,235351.417830662,235032.839842787,236727.067890926,235287.803089479,235284.597966313,236716.556738501,235194.367430411
"83",234533.384358594,234346.968669872,234749.609545893,235018.801330626,235176.793282654,234579.72151589,234626.925943016,234363.221276815,234667.120029907,234667.142381156,234371.047577631,234685.397354592
"84",234399.582842323,235880.876748449,234518.523659338,235256.775914804,235135.724324228,234601.918083901,234348.762269873,235735.523232684,234645.244686366,234641.573897585,235736.592810011,234465.392097988
"85",234620.489233491,235150.983461044,234738.759742872,234995.367705008,234960.887377883,234713.480404123,234622.889913303,235098.026339919,234480.303511977,234478.863998349,235072.470875443,234722.57971079
"86",234505.421855166,234052.704333815,234481.787426528,234273.766202668,234336.538625697,234622.679847098,234722.949293402,234108.283074576,235014.492611708,235017.441776148,234149.756724759,234487.691446348
"87",235106.905865445,234328.609569828,235553.474475641,234962.393764189,235093.332939847,235361.830291357,235584.626319409,234430.953126564,235752.577413495,235760.281279477,234472.591199202,235415.839759752
"88",235253.038817993,235809.72406434,235286.795814445,235405.280353422,235302.632130276,235289.274809756,235189.553043106,235745.640499756,235102.062186481,235100.647627291,235723.282591702,235247.103920985
"89",234369.135961365,235244.629944161,234818.591587116,235256.526457227,235259.006031091,234804.814176358,234723.773505704,235194.231952429,234834.97389197,234834.175100421,235195.697783844,234734.191153062
"90",235041.267226711,233933.12053858,234721.344697953,234830.891559994,235076.444496533,234474.754591556,234579.752868507,233983.331749454,234981.002045872,234982.87478544,234034.581955285,234659.282871754
"91",235222.162587887,236326.416436233,235467.709174171,236859.60407302,236963.289967442,235405.845496086,235203.286232723,236222.278029619,235260.210239783,235254.902402324,236204.987639595,235402.575742487
"92",235347.22284099,236066.180401319,235837.532781354,236579.842394121,236690.411828114,235693.778509731,235620.567401666,236016.371270672,235712.863231078,235710.752579606,236014.961813761,235769.84901683
"93",234699.357598568,232795.434235438,234759.432669714,234095.055628148,234388.453436882,234295.09502148,234628.268088412,232946.33810783,234658.151240252,234660.797426225,232986.114983177,234680.235944896
"94",234568.643007384,233900.065315632,234556.088348066,234392.077233492,234524.9229225,234332.225061641,234414.367273107,233934.547797228,234593.128728349,234594.097898405,233960.272583056,234532.300264259
"95",234519.178037723,233585.259906358,234592.516461424,233552.35648729,233544.120463395,234376.305757892,234533.453399538,233665.849424941,234575.532160125,234577.486070144,233687.245383084,234558.049032525
"96",235207.741556376,234122.986788397,235165.451929367,235331.847397677,235633.5185996,234848.536969275,234978.554685582,234188.494361855,235284.380222765,235286.595580995,234232.585801168,235227.928982419
"97",235095.144900309,235651.905218532,235279.789212946,235782.905179165,235812.273743186,235251.461422787,235171.579342045,235599.195380477,235256.79426013,235255.552308196,235597.485871248,235276.45808488
"98",234790.990453346,235836.007463248,234867.971247625,235406.691875241,235312.306412443,235142.859969203,234996.50083469,235758.037614441,234809.233945732,234805.726093876,235720.520834255,234844.292544385
"99",234999.63185237,233811.223185995,234950.969980899,234989.990843244,235294.20997942,234750.210793987,234935.807504678,233905.532169471,234849.824099299,234852.24599564,233916.401812722,234909.496383076
"100",235758.317389459,236169.632336835,235982.384989766,235545.751259935,235394.855410268,236018.776999912,235990.618044405,236148.412722084,235857.460344029,235856.691376024,236129.699451355,235898.956453604
