"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"575",235178.220586618,237295.07671649,237342.905495712,239404.738917817,237248.547825498,237243.921459921,239626.67757019,237247.59428692,237243.917870307,237251.493179362,237170.707747097,236566.438951733
"576",235045.396714885,240815.337611358,234760.66241967,236645.31120105,235193.993882846,234885.277140778,235985.448282866,235043.405327626,234847.166914677,235194.782329266,234809.459681671,234591.146143295
"577",234528.095429074,243759.602751464,235064.02418299,237021.003794108,235137.239792292,234936.660342908,235874.595985597,234915.297200645,234939.467023201,235129.297254512,235166.244906097,234372.300388335
"578",234906.208512742,229051.252372861,237842.518080122,233482.909386533,236450.368031351,237753.200300967,234573.918986437,236582.104957606,237752.97060658,236448.937075129,237150.261797071,236082.397247892
"579",236093.821005485,240952.425283111,237312.028306451,236974.709289639,237294.139616666,237346.55642118,235798.846042648,237222.902544329,237347.097309849,237294.181173941,237253.337679966,237294.417399963
"580",235261.941731798,234606.211463254,234745.72609136,236010.250611651,234786.514035311,235192.014830874,236387.437725541,234790.148499674,235192.168291517,234785.085138142,234977.218863767,234546.33320129
"581",234360.755248193,234653.466970941,234955.220225265,233591.911591249,234804.507401219,235045.252638795,233222.412975187,234807.412964059,235045.339594323,234804.143608204,234897.491991541,234260.379567025
"582",235429.795137867,236820.275537221,236930.850132959,239767.30395853,237008.902397966,236926.967221423,240502.540924821,237012.148020474,236926.961931887,237012.018994732,236942.233697622,236317.041499082
"583",235067.9820591,235942.859405944,236341.26969348,236139.41743075,235990.293145243,236247.10550131,236185.470478402,235991.227205264,236247.107901419,235990.708853992,236079.62066693,235367.817727768
"584",235018.189157607,230918.957716203,235145.24766673,235172.471087699,235202.828528567,235088.709634743,236517.133321281,235276.716017303,235088.800666013,235201.783850907,234939.907100686,235112.988511993
"585",235150.716539894,233727.325754052,236044.137841011,235843.936489627,235889.445859325,236323.003379615,236398.684019284,235931.705756992,236323.385743545,235890.058760604,236150.084422474,235811.654592795
"586",235270.850866729,238179.852026564,236616.252901493,236018.557129725,236275.33307881,236685.226208851,235491.527816991,236238.916152107,236685.24219992,236276.864494292,236502.353351444,236284.050467201
"587",234943.805456947,238767.097788382,238052.458359614,238788.141285326,237740.182568991,238192.996884731,238793.407041195,237715.664321865,238193.129799439,237741.119290854,237909.74726348,236481.101851069
"588",234714.512451897,229743.458168872,235373.253943691,231980.676284234,234852.850255593,235319.444239381,232447.583802975,234955.682081441,235301.576057408,234853.252545935,235126.218514331,234765.965415309
"589",234443.613667235,232046.822270751,236095.774145319,232484.043987369,235440.225648005,235978.930039372,232542.44018083,235540.451992555,235977.669098923,235440.082013221,235847.305699706,234780.108477297
"590",235301.769017377,231903.604011732,237642.705520173,236341.848751243,237160.05270648,237430.151871898,237730.393142918,237258.500895866,237430.793347617,237162.421322694,237291.604744153,236714.690171966
"591",235011.091851511,229772.302341089,235821.288646044,232758.569290086,235149.490804659,235757.479850831,233914.915808943,235232.017234169,235755.629538988,235146.685917607,235393.280322656,234568.905499562
"592",234816.465913189,238604.425366924,235901.984930486,235651.074797545,235433.488779363,235753.809877971,235044.051097584,235376.644757696,235754.041084198,235434.682283787,235606.174793597,234674.232749834
"593",235398.460777839,231229.275914296,234078.943703628,233981.861077154,233505.891792774,233993.136014086,234897.307961073,233557.032628364,234002.254323643,233502.952200793,233562.492957219,234562.406001274
"594",235103.912347719,234133.461170773,235753.291972246,236495.816977984,235435.047523167,235816.352075502,237470.097650982,235452.673605603,235816.023233049,235438.233214912,235567.016556792,234410.601507047
"595",234361.567894341,233564.551986429,235198.259060441,234678.728306174,234474.156698687,235304.362756969,234924.164396386,234489.546456761,235304.559738572,234472.938336486,234848.442064679,233653.873191626
"596",235201.153216422,240956.726661154,236732.413961368,237481.485685838,236687.962104001,236823.119084232,236395.7165535,236626.08016123,236797.841628441,236691.634064606,236655.896495265,236475.35756791
"597",234721.607783139,236315.888158336,236776.186823271,231512.015741247,235913.56032515,236777.208334103,230016.449527596,235906.829780507,236777.042553178,235910.112238937,236349.977452485,234779.196000817
"598",234809.716174417,233756.746830721,236298.943263619,233796.389106001,236261.555071679,236305.628937428,233807.077977097,236303.940406721,236305.456857731,236260.331612996,236218.469355995,235923.90193075
"599",235025.175163402,237447.614562931,236041.250925722,236314.555023905,235725.648513326,235966.768632234,236186.985882938,235686.773813518,235966.843125963,235723.533027568,235824.3694344,235560.489871699
"600",234521.407909778,234414.965221362,234686.654933976,235377.902250506,234299.215476683,234595.049192082,235702.702742625,234296.468144307,234595.085336673,234295.047770326,234497.025501208,233963.375875708
"601",233959.343197301,233465.053182502,235782.036380937,233500.043681571,235113.341715948,235512.912811163,233506.553276153,235149.604017879,235510.867166261,235108.865308329,235369.685501456,234293.415734673
"602",234955.171600718,235899.011571505,236671.695995581,238515.877288947,236524.619388087,236671.729036717,239133.814984919,236539.039351447,236671.907640726,236524.441913857,236610.772191622,236073.065003702
"603",235121.266891501,233859.781467452,235895.866234669,235699.826573492,236290.664545737,235883.24527314,236257.735544456,236331.69759323,235884.102047163,236288.618889456,236197.752597823,236676.164628118
"604",235362.560092471,234495.167689901,236472.674763969,237390.487176274,236378.477467281,236609.733006958,238090.146478647,236416.994236563,236610.066843134,236378.86818596,236549.24734078,236453.085501359
"605",235838.099209847,230058.33431855,235984.685187471,233229.959379295,235608.212560584,235924.972725986,234140.400269831,235700.960382843,235924.929747791,235609.108800776,235815.798612984,235871.997808136
"606",235688.893026064,239600.920329091,238710.581953972,240534.398845504,238508.967836103,238766.797467114,240782.999736756,238493.032954021,238766.782571234,238508.826260652,238650.346093592,237667.588753638
"607",235485.860479593,233148.78745675,236770.005268493,235699.217774956,236438.047390127,236757.094389872,236451.499009556,236505.931562893,236757.781507177,236435.895193108,236606.362151731,236047.03489892
"608",235406.052340047,240756.517767828,236157.94397057,238189.004342615,236293.849986939,236241.080461355,237707.269150247,236220.531121071,236238.466294998,236293.230709726,236374.382384222,235571.217920397
"609",233865.53281947,226150.356869894,234115.712841633,230854.680368697,233496.26831487,234116.886676664,231956.584703548,233667.9305838,234114.958190965,233498.005599502,233779.020833501,233228.751373198
"610",234440.7033332,230956.275408344,235228.305056441,234831.202402248,235038.435935561,235129.677443416,235758.961249782,235125.295811397,235141.733024375,235038.967207016,235111.141934948,235015.076262037
"611",234502.649354756,237954.581471984,235449.443564873,234918.739322787,235318.528519969,235432.184751004,234509.404186749,235262.000567501,235434.135749797,235319.420217059,235421.891042297,235523.50052336
"612",235139.293762305,235130.257208634,235788.956471823,237876.14718518,235625.656156344,235728.990995987,238518.943402998,235635.184717704,235728.820683707,235624.481900452,235740.270270157,235027.634487238
"613",234147.559315537,234434.933464268,235142.875827473,234412.20493892,234852.666001044,235160.605783848,234410.657078105,234864.847308836,235160.716806489,234850.612007966,235062.076759344,234142.868847656
"614",234837.919387636,234108.337013135,236245.643617597,236888.624237124,236126.462709001,236110.17535484,237312.922095922,236175.040577113,236110.264119028,236128.630138752,236218.89832295,236069.275088534
"615",234521.169417335,232749.89261107,235111.935961066,233893.461775512,234896.296373571,235126.490705554,233964.629314897,234949.011307535,235126.499407507,234894.791761905,234962.436387225,233969.93320579
