"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"77",234370.971093537,233352.226312325,233670.44402676,233700.463312768,233704.618378073,233669.760733727,233669.871765063,233670.491746351,233669.661206169,233669.652292035,233669.802911446,233811.463566249
"78",235182.031774101,233360.549242379,234398.869732645,234418.615309874,234444.677651154,234404.623079869,234405.947951076,234405.53951328,234398.749841162,234399.059445173,234398.643080117,234941.852905637
"79",234644.596470464,232978.809528847,234515.763696815,234467.697628781,234482.919216086,234508.521665993,234509.516153359,234509.465799764,234514.876883032,234515.198130044,234515.799519081,234234.522882542
"80",234592.145266811,236895.635783835,234225.550627549,234163.207097873,234130.368263229,234225.801797489,234224.262426414,234223.809522922,234227.565956551,234227.055133563,234225.953456565,234238.297023331
"81",235167.348805288,233110.39869065,235021.692059149,234953.027393386,234981.220300438,235019.116293665,235020.288853626,235020.698395223,235020.015812435,235020.380522302,235022.458766409,234597.72670591
"82",234889.423689202,235953.686809172,234984.04901383,235158.324854316,235138.122209448,234977.203822387,234976.151371804,234981.088564297,234983.201390599,234983.08968245,234984.10026132,234511.688489802
"83",234533.384358594,234136.072160299,234219.950548442,234205.823538011,234206.89811067,234216.029325472,234216.019820429,234218.070507459,234217.972337696,234217.929640575,234219.951211508,234647.145645245
"84",234399.582842323,235747.886407099,235775.387523913,235996.396052604,236000.673237854,235785.843089833,235785.857145401,235784.208405572,235776.871789639,235776.871436222,235776.540421686,235657.672270615
"85",234620.489233491,230116.462303166,234846.972129136,234800.140039042,234918.932882441,234842.467932288,234847.996097273,234842.539329914,234846.584207445,234847.259030837,234846.723396306,234688.469283195
"86",234505.421855166,236134.704346396,234439.969621609,234527.427213854,234496.573180957,234441.057396441,234439.902565898,234440.35052578,234440.706409862,234440.384031379,234439.970246054,234515.848417448
"87",235106.905865445,241056.387460086,235485.851056812,235785.783796768,235728.473658078,235500.404193278,235498.180699876,235496.577965267,235489.730734703,235489.428259414,235486.684769961,236047.763249022
"88",235253.038817993,237209.524396184,233932.133513264,234067.348311272,234002.600860495,233936.985352775,233936.070717328,233936.322925671,233933.458703726,233933.798870009,233932.520673039,234110.439728114
"89",234369.135961365,235227.551514866,233691.922263955,233701.569304695,233679.593980318,233696.041904302,233695.08577292,233695.967421294,233692.076219889,233691.759406098,233691.299058201,234324.270640092
"90",235041.267226711,235616.769200387,235014.313970958,235069.325320743,235063.024430827,235019.139712775,235018.731965675,235019.368984519,235014.06734205,235013.93385129,235014.321976723,235060.256355312
"91",235222.162587887,235967.018555209,235308.670635051,235379.612082313,235368.789198353,235310.706750682,235310.500138313,235312.093280736,235307.240465543,235307.307926558,235308.788147494,235210.786670793
"92",235347.22284099,238107.450233043,235311.729216424,235390.843984629,235409.672359533,235314.542585248,235313.57767392,235314.575133473,235311.694640658,235312.014440278,235311.704261363,235441.52118119
"93",234699.357598568,233613.021094687,235445.930746603,235445.085623725,235486.601970178,235437.426348104,235441.067632331,235440.191781265,235441.84133164,235443.452680942,235445.741923697,235757.634645932
"94",234568.643007384,234491.362213478,234592.183540203,234586.512420525,234588.606901934,234585.374666068,234585.404453809,234586.964682753,234588.600821407,234588.544952285,234592.429657325,234423.24834696
"95",234519.178037723,234081.7754066,235197.884981496,235168.119826896,235187.799673377,235197.35880924,235198.089514203,235198.366311706,235196.858594331,235197.084335491,235197.887604476,235246.642190614
"96",235207.741556376,235091.948381765,234863.544274315,234919.032975728,234914.376730153,234864.654466995,234864.365542421,234862.042213061,234866.082468132,234866.027037341,234862.822954519,234884.182567023
"97",235095.144900309,237429.898136318,234541.111673622,234552.999029814,234520.015041622,234544.229091521,234541.48684786,234539.232248552,234546.621528421,234545.015015095,234540.228031338,234689.671981719
"98",234790.990453346,235625.084900772,233879.123998464,234061.719774421,234033.959615818,233884.54258563,233883.552225926,233883.817237189,233879.840146666,233879.492142375,233879.258889592,234052.96865157
"99",234999.63185237,232804.611190984,234421.220527324,234377.380911988,234397.270646502,234429.367564437,234430.134219455,234428.007098716,234422.80730245,234422.814211659,234420.911194036,234832.177912732
"100",235758.317389459,237929.233699427,236629.225246946,236780.974158748,236763.527025372,236629.73247569,236629.053243851,236629.419270453,236629.543875025,236629.446055024,236629.234904872,236336.896062675
